epoch,accuracy,loss,val_accuracy,val_loss
0,0.059166666,6.30517578125,0.07333333,8.029617309570312
1,0.1025,5.748738050460815,0.12666667,5.5256500244140625
2,0.22583333,4.405958890914917,0.18666667,4.391971111297607
3,0.29833335,3.7319376468658447,0.23333333,3.9139645099639893
4,0.35666665,3.4497923851013184,0.28,3.697857141494751
5,0.375,3.1957463026046753,0.23333333,3.531738758087158
6,0.42833334,2.8357290029525757,0.24,3.5758867263793945
7,0.49666667,2.4696439504623413,0.30666667,3.712726354598999
8,0.55,2.121134400367737,0.28666666,4.085757732391357
9,0.6025,1.8199285864830017,0.28,4.246232509613037
10,0.67333335,1.4995474815368652,0.26,4.904877662658691
11,0.755,1.2127759456634521,0.27333334,4.844961643218994
12,0.7916667,0.9751474261283875,0.24,5.099035739898682
13,0.86083335,0.7545620203018188,0.25333333,5.614870548248291
14,0.90833336,0.5527875423431396,0.25333333,5.675126075744629
15,0.92833334,0.41471922397613525,0.24666667,6.254138946533203
16,0.9508333,0.31591954827308655,0.27333334,6.550915718078613
17,0.98083335,0.21441035717725754,0.26666668,6.727138996124268
18,0.985,0.14888688921928406,0.27333334,7.072099685668945
19,0.9916667,0.10955651476979256,0.24666667,7.829117774963379
20,0.99333334,0.08817009627819061,0.27333334,7.900843143463135
21,0.9916667,0.07211888581514359,0.28666666,7.902378559112549
22,0.9941667,0.051756324246525764,0.28,8.610906600952148
23,0.9925,0.04827286675572395,0.27333334,9.077977180480957
24,0.9925,0.04504183121025562,0.27333334,8.924347877502441
25,0.9941667,0.03264772426337004,0.27333334,8.751543998718262
26,0.99333334,0.03695915825664997,0.26,8.957024574279785
27,0.9941667,0.0361840152181685,0.26666668,9.425509452819824
28,0.99333334,0.030619435012340546,0.28666666,9.55843734741211
29,0.9941667,0.036133418790996075,0.26666668,9.571832656860352
