epoch,accuracy,loss,val_accuracy,val_loss
0,0.4411012530326843,2.258481979370117,0.3742857277393341,1.758570671081543
1,0.4997088611125946,1.8526403903961182,0.38663265109062195,1.760840892791748
2,0.5251898765563965,1.7113566398620605,0.35265305638313293,1.9354687929153442
3,0.5448228120803833,1.5842556953430176,0.377346932888031,1.8463685512542725
4,0.5689367055892944,1.4491639137268066,0.3642857074737549,1.9634681940078735
5,0.5916329026222229,1.3239892721176147,0.3546938896179199,2.0861189365386963
6,0.6147721409797668,1.216087818145752,0.350102037191391,2.1902318000793457
7,0.6375696063041687,1.1187907457351685,0.3638775646686554,2.2360594272613525
8,0.6558101177215576,1.0376580953598022,0.34918367862701416,2.4311695098876953
9,0.6745316386222839,0.9667614698410034,0.3514285683631897,2.507092237472534
10,0.6873544454574585,0.9113603830337524,0.370612233877182,2.391493797302246
11,0.6976708769798279,0.8677279353141785,0.33204081654548645,2.7170088291168213
12,0.7081266045570374,0.8209841251373291,0.34040817618370056,2.8136775493621826
13,0.7181898951530457,0.7842364311218262,0.36163264513015747,2.8065648078918457
14,0.7233924269676208,0.7519965171813965,0.334285706281662,3.110738515853882
15,0.7294050455093384,0.7318468689918518,0.34816327691078186,3.0430121421813965
16,0.7335189580917358,0.7087469100952148,0.3489795923233032,3.165740728378296
17,0.736784815788269,0.6846624612808228,0.3372448980808258,3.3425180912017822
18,0.7388607859611511,0.6733978986740112,0.3341836631298065,3.320575475692749
19,0.740873396396637,0.6564592719078064,0.32908162474632263,3.6473679542541504
20,0.7453417778015137,0.6385886073112488,0.3268367350101471,3.654120683670044
21,0.7459746599197388,0.6245049834251404,0.3315306007862091,3.6460630893707275
22,0.7465949654579163,0.612278938293457,0.3439795970916748,3.5237185955047607
23,0.7480759620666504,0.6042249202728271,0.34826532006263733,3.6352384090423584
24,0.7492658495903015,0.5931237936019897,0.33581632375717163,3.846994638442993
25,0.7482405304908752,0.5802732110023499,0.3406122326850891,3.8580431938171387
26,0.7506582140922546,0.5730267763137817,0.3466326594352722,3.7287955284118652
27,0.75173419713974,0.564034640789032,0.3356122374534607,4.207391738891602
28,0.7527595162391663,0.5564716458320618,0.3473469316959381,4.100001811981201
29,0.7535569667816162,0.5487362742424011,0.3446938693523407,4.198307514190674
