epoch,accuracy,loss,val_accuracy,val_loss
0,0.65,4.496617986820638,0.17333333,21.794815063476562
1,0.4925,3.5375946760177612,0.093333334,20.410850524902344
2,0.5366667,2.9514955282211304,0.06666667,17.669404983520508
3,0.62083334,2.25466525554657,0.086666666,20.861570358276367
4,0.805,1.4387937784194946,0.11333334,29.08592414855957
5,0.8575,0.8944145143032074,0.12666667,38.99432373046875
6,0.9033333,0.5505021810531616,0.10666667,50.14937973022461
7,0.96416664,0.3327796459197998,0.08,58.39830780029297
8,0.9925,0.1807377114892006,0.10666667,60.005638122558594
9,0.9916667,0.0780695453286171,0.10666667,61.39078140258789
10,0.9925,0.04526059702038765,0.1,62.75524139404297
11,0.99333334,0.029253670945763588,0.10666667,62.92173767089844
12,0.99333334,0.03993704542517662,0.1,63.03627014160156
13,0.99333334,0.026680554263293743,0.1,61.58528137207031
14,0.9941667,0.023351469077169895,0.093333334,60.351627349853516
15,0.99333334,0.019966033287346363,0.086666666,60.32509231567383
16,0.9916667,0.022041200660169125,0.07333333,61.09844970703125
17,0.99333334,0.017955958377569914,0.08,59.97307205200195
18,0.99333334,0.01771168876439333,0.08,58.74134826660156
19,0.99333334,0.017438299022614956,0.08,56.167293548583984
20,0.9941667,0.018357387278228998,0.093333334,53.83504104614258
21,0.9941667,0.016033946070820093,0.1,53.108177185058594
22,0.9941667,0.016107876785099506,0.10666667,51.46005630493164
23,0.99333334,0.015321101527661085,0.11333334,49.97067642211914
24,0.99333334,0.016526646446436644,0.12666667,48.828704833984375
25,0.9925,0.015504774637520313,0.12666667,47.43777084350586
26,0.9941667,0.015055797528475523,0.14,45.88175964355469
27,0.9916667,0.015534473117440939,0.14,44.5072135925293
28,0.9941667,0.01544152433052659,0.16,43.905914306640625
29,0.99333334,0.015760313253849745,0.16,43.78314208984375
